epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,1379.12,0.94811,0.64584,1.15042,0.98129,0.81725,0.8569,0.66903,0.9289,0.6389,1.08068,0.000986903,0.000986903,0.000986903
27,1430.91,0.88873,0.58592,1.10929,0.94942,0.77284,0.83987,0.65792,0.88967,0.65007,1.04947,0.000969219,0.000969219,0.000969219
28,1483.04,0.84307,0.58712,1.10453,0.93585,0.78894,0.84331,0.63376,0.92723,0.65179,1.0663,0.000951535,0.000951535,0.000951535
29,1534.8,0.80678,0.56441,1.07296,0.90243,0.84939,0.84986,0.67799,0.8922,0.65115,1.05924,0.000933851,0.000933851,0.000933851
30,1586.79,0.83615,0.55492,1.0742,0.94512,0.84245,0.85172,0.6884,0.86246,0.58666,1.06313,0.000916168,0.000916168,0.000916168
31,1638.93,0.88043,0.56078,1.08044,0.95935,0.83751,0.85288,0.68822,0.86465,0.5698,1.04664,0.000898484,0.000898484,0.000898484
32,1690.65,0.84068,0.55441,1.11459,0.95307,0.83108,0.855,0.68957,0.8882,0.60014,1.07449,0.0008808,0.0008808,0.0008808
33,1742.76,0.80373,0.54417,1.07109,0.97743,0.80409,0.85442,0.68031,0.90059,0.61714,1.06609,0.000863116,0.000863116,0.000863116
34,1794.77,0.88041,0.57588,1.08875,0.98567,0.81887,0.85509,0.68051,0.87197,0.61779,1.07112,0.000845432,0.000845432,0.000845432
35,1846.34,0.84449,0.55704,1.10507,0.96216,0.84351,0.85642,0.6625,0.90661,0.60254,1.10381,0.000827748,0.000827748,0.000827748
36,1898.02,0.82705,0.52451,1.09279,0.98416,0.81963,0.86622,0.69224,0.87529,0.5722,1.07469,0.000810064,0.000810064,0.000810064
37,1949.59,0.84972,0.56903,1.13106,0.95651,0.84034,0.86622,0.67413,0.90354,0.56766,1.07692,0.00079238,0.00079238,0.00079238
38,2000.8,0.82272,0.52247,1.0946,0.95959,0.83112,0.86525,0.66911,0.91428,0.55846,1.07042,0.000774697,0.000774697,0.000774697
39,2052.51,0.82576,0.50437,1.06906,0.9526,0.84219,0.85684,0.66665,0.87636,0.56141,1.04746,0.000757013,0.000757013,0.000757013
40,2104.68,0.79956,0.51599,1.04713,0.97271,0.84137,0.8534,0.69263,0.85536,0.53532,1.04091,0.000739329,0.000739329,0.000739329
41,2156.58,0.79421,0.51902,1.06302,0.9884,0.82983,0.85295,0.67803,0.8843,0.53088,1.07339,0.000721645,0.000721645,0.000721645
42,2208.78,0.80547,0.48606,1.05851,0.98346,0.82831,0.85052,0.67786,0.91389,0.55847,1.07873,0.000703961,0.000703961,0.000703961
43,2260.36,0.83047,0.50002,1.05142,0.96946,0.81563,0.84806,0.70072,0.85929,0.5922,1.04602,0.000686277,0.000686277,0.000686277
44,2311.99,0.77756,0.5006,1.05018,0.98982,0.82906,0.85113,0.70044,0.82235,0.53584,1.03703,0.000668593,0.000668593,0.000668593
45,2363.42,0.80288,0.51102,1.07153,0.98902,0.82831,0.84944,0.70065,0.83454,0.55116,1.0362,0.000650909,0.000650909,0.000650909
46,2415.04,0.7401,0.4721,1.06411,0.98249,0.82427,0.85118,0.69834,0.82946,0.56802,1.02984,0.000633226,0.000633226,0.000633226
47,2466.42,0.80549,0.5035,1.05761,0.98403,0.81852,0.85389,0.69527,0.86736,0.57987,1.0459,0.000615542,0.000615542,0.000615542
48,2517.98,0.75327,0.47798,1.03173,0.98941,0.81985,0.8534,0.69038,0.84646,0.58659,1.03184,0.000597858,0.000597858,0.000597858
49,2569.43,0.67794,0.43999,0.99924,0.98524,0.82167,0.85295,0.68378,0.87412,0.59647,1.04724,0.000580174,0.000580174,0.000580174
50,2620.75,0.65699,0.43428,1.01019,0.97936,0.82619,0.85253,0.67804,0.83529,0.54582,1.03763,0.00056249,0.00056249,0.00056249
51,2672.17,0.71913,0.46692,1.03961,0.99146,0.82182,0.855,0.69042,0.81511,0.51528,1.02272,0.000544806,0.000544806,0.000544806
52,2724.2,0.66924,0.41897,1.01674,0.9925,0.81597,0.855,0.6989,0.84939,0.50682,1.04284,0.000527122,0.000527122,0.000527122
53,2776.04,0.69747,0.44982,1.03089,0.96012,0.84258,0.855,0.69607,0.86683,0.50275,1.0507,0.000509438,0.000509438,0.000509438
54,2827.31,0.65847,0.43201,1.00506,0.98448,0.83099,0.855,0.69727,0.848,0.50591,1.04177,0.000491755,0.000491755,0.000491755
55,2878.8,0.67533,0.41212,1.01008,0.97592,0.8431,0.855,0.68974,0.84813,0.48915,1.04136,0.000474071,0.000474071,0.000474071
56,2930.7,0.71829,0.45255,1.03466,0.98145,0.84325,0.855,0.69704,0.83266,0.47577,1.04246,0.000456387,0.000456387,0.000456387
57,2982.27,0.71145,0.43819,1.02923,0.98261,0.84219,0.85442,0.69923,0.80934,0.47294,1.03667,0.000438703,0.000438703,0.000438703
58,3034.2,0.66352,0.42637,1.0026,0.98817,0.84313,0.855,0.70038,0.79405,0.44827,1.02608,0.000421019,0.000421019,0.000421019
59,3085.49,0.65411,0.42071,1.0139,0.98835,0.84289,0.855,0.70328,0.82142,0.47923,1.02684,0.000403335,0.000403335,0.000403335
60,3136.93,0.6536,0.41137,1.01573,0.98395,0.83592,0.855,0.71155,0.81322,0.50166,1.03001,0.000385651,0.000385651,0.000385651
61,3190.32,0.70886,0.43138,1.05067,0.98561,0.83058,0.855,0.70803,0.81201,0.50747,1.0331,0.000367967,0.000367967,0.000367967
62,3242.01,0.61128,0.40039,0.98889,0.98199,0.82835,0.855,0.69697,0.81822,0.48241,1.0348,0.000350284,0.000350284,0.000350284
63,3294.24,0.67779,0.40964,1.01742,0.96467,0.84288,0.855,0.68772,0.83965,0.46232,1.04079,0.0003326,0.0003326,0.0003326
64,3351.55,0.63426,0.40985,0.98614,0.9698,0.84332,0.855,0.68859,0.8298,0.44238,1.03647,0.000314916,0.000314916,0.000314916
65,3407.89,0.65702,0.39578,0.9984,0.96983,0.84323,0.855,0.70435,0.8098,0.43092,1.02789,0.000297232,0.000297232,0.000297232
66,3460.19,0.61863,0.40233,0.97728,0.97048,0.84327,0.855,0.71145,0.81707,0.44159,1.02551,0.000279548,0.000279548,0.000279548
67,3512.01,0.61457,0.40113,0.98443,0.9703,0.84296,0.855,0.70456,0.82305,0.43051,1.03351,0.000261864,0.000261864,0.000261864
68,3563.53,0.61813,0.38236,0.97504,0.9825,0.83087,0.855,0.6932,0.82311,0.44816,1.03773,0.00024418,0.00024418,0.00024418
69,3614.98,0.60195,0.37981,0.99915,0.98439,0.83006,0.855,0.6949,0.82009,0.45149,1.0332,0.000226497,0.000226497,0.000226497
70,3666.33,0.6186,0.37964,0.98817,0.98712,0.8295,0.855,0.69622,0.81925,0.4448,1.02693,0.000208813,0.000208813,0.000208813
71,3717.83,0.54804,0.3432,0.92018,0.98979,0.82934,0.855,0.68812,0.83504,0.4589,1.03032,0.000191129,0.000191129,0.000191129
72,3768.95,0.55492,0.34582,0.9164,0.99159,0.8294,0.855,0.68762,0.83998,0.47701,1.02602,0.000173445,0.000173445,0.000173445
73,3821.41,0.51419,0.33328,0.8889,0.99277,0.82951,0.855,0.68719,0.83998,0.47609,1.02796,0.000155761,0.000155761,0.000155761
74,3873.28,0.52434,0.32948,0.89635,0.99293,0.82951,0.855,0.68722,0.82881,0.47376,1.02689,0.000138077,0.000138077,0.000138077
75,3924.56,0.49967,0.32224,0.8771,0.9922,0.82962,0.855,0.68702,0.82014,0.46232,1.02963,0.000120393,0.000120393,0.000120393
76,3975.93,0.52406,0.32803,0.88968,0.99224,0.82983,0.855,0.6886,0.82329,0.45838,1.0343,0.000102709,0.000102709,0.000102709
77,4026.97,0.49625,0.31484,0.90736,0.99222,0.82999,0.855,0.69435,0.82289,0.45072,1.0359,8.50255e-05,8.50255e-05,8.50255e-05
78,4077.96,0.51679,0.30784,0.90914,0.99252,0.83043,0.855,0.69116,0.82609,0.43443,1.03998,6.73416e-05,6.73416e-05,6.73416e-05
79,4129.38,0.52454,0.31768,0.90847,0.99285,0.83092,0.855,0.68502,0.83008,0.42747,1.04281,4.96578e-05,4.96578e-05,4.96578e-05
80,4180.55,0.4893,0.31814,0.90353,0.99343,0.83111,0.855,0.68863,0.83146,0.42671,1.04458,3.19739e-05,3.19739e-05,3.19739e-05
